Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,Ownership,StDev,Team1,Team2,Opponent
WR,Greg Dortch (30331072),Greg Dortch,30331072,WR/FLEX,3000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0.77,0,1.505,ARI,SEA,SEA
WR,Andre Baccellia (30331074),Andre Baccellia,30331074,WR/FLEX,3000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0,0,0,ARI,SEA,SEA
WR,Kaden Davis (30331076),Kaden Davis,30331076,WR/FLEX,3000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0,0,0,ARI,SEA,SEA
WR,Jeff Smith (30331078),Jeff Smith,30331078,WR/FLEX,3000,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0,0,0,ARI,SEA,SEA
WR,Dontayvion Wicks (30331034),Dontayvion Wicks,30331034,WR/FLEX,3000,GB@DEN 10/22/2023 04:25PM ET,GB,4.5,2.72,0.006666667,3.595,GB,DEN,DEN
WR,Samori Toure (30331036),Samori Toure,30331036,WR/FLEX,3000,GB@DEN 10/22/2023 04:25PM ET,GB,2.38,0.573333333,0,0.8,GB,DEN,DEN
WR,Malik Heath (30331038),Malik Heath,30331038,WR/FLEX,3000,GB@DEN 10/22/2023 04:25PM ET,GB,0,0.04,0.016666667,0.06,GB,DEN,DEN
WR,Bo Melton (30331040),Bo Melton,30331040,WR/FLEX,3000,GB@DEN 10/22/2023 04:25PM ET,GB,0,0,0,0,GB,DEN,DEN
WR,Grant DuBose (30331042),Grant DuBose,30331042,WR/FLEX,3000,GB@DEN 10/22/2023 04:25PM ET,GB,0,0,0,0,GB,DEN,DEN
WR,Brandon Johnson (30331044),Brandon Johnson,30331044,WR/FLEX,3000,GB@DEN 10/22/2023 04:25PM ET,DEN,6.37,3.803333333,0.06,9.415,GB,DEN,GB
